,result,score,target
0,NEUTRAL,0.4248373806476593,OpenAI said recent outages of its viral ChatGPT chatbot could be caused by targeted attacks on its servers.
1,NEGATIVE,0.08912857621908188,"A DDoS attack, or distributed denial of service, typically refers to an attacker that floods an internet server to disrupt normal traffic."
2,NEUTRAL,0.4784720838069916,"“We are continuing work to mitigate this,” OpenAI said."
3,NEGATIVE,0.10393062233924866,Users on Wednesday were unable to access all of OpenAI’s tools and services and received a message that the platform was at capacity.
4,NEUTRAL,0.5053126215934753,The company told CNN no user information was compromised.
5,NEUTRAL,0.6715978980064392,"The outage comes three days after OpenAI hosted its first developer conference, held in San Francisco. It was held nearly a year after the launch of ChatGPT, which helped renew an arms race among tech companies to develop and deploy similar AI tools in their products."
6,NEUTRAL,0.6111528873443604,"CEO Sam Altman said 2 million developers now use the platform, and about 90% of Fortune 500 companies are using the tools internally. It currently has 100 million active users."
7,POSITIVE,0.723503589630127,"At the event, the company unveiled a series of artificial intelligence tool updates, including the ability for developers to create custom versions of ChatGPT."
8,NEUTRAL,0.41193750500679016,The technology behind viral AI chatbot ChatGPT just got a whole lot smarter.
9,POSITIVE,0.7143402099609375,"During its first developer conference held in San Francisco on Monday, OpenAI unveiled a series of artificial intelligence tool updates, including the ability for developers to create custom versions of ChatGPT. It is also launching a digital store and cutting base prices for developers while also pledging to pay some who use OpenAI products on their platforms."
10,POSITIVE,0.7543988227844238,"The event comes nearly a year after the launch of ChatGPT, which helped renew an arms race among tech companies to develop and deploy similar AI tools in their products. CEO Sam Altman said 2 million developers now use the platform, and about 90% of Fortune 500 companies are using the tools internally. It currently has 100 million active users."
11,NEUTRAL,0.4992586672306061,"Among the biggest changes announced is the introduction of GPTs, or customized versions of ChatGPT. Similar to plugins, GPT can connect to databases, be used in emails or facilitate e-commerce orders, the company said. On its website, it says GPTs could be used to help with math tutoring, train for a marathon or design stickers, without any prior coding experience. Users can try it out via chatgpt.com/create."
12,NEUTRAL,0.6747763752937317,"“Creating one is as easy as starting a conversation, giving it instructions and extra knowledge, and picking what it can do, like searching the web, making images or analyzing data,” the company said in a blog post."
13,NEUTRAL,0.6149802803993225,"OpenAI is also rolling out a GPT Store, starting later this month, to allow GPTs to become searchable. Similar to other app stores, they’ll be listed on a leaderboard, and the company will highlight useful tools across categories such as productivity, education and “just for fun.” The company said developers will also be able to earn money based on how many people are using their GPT."
14,NEUTRAL,0.4372293949127197,"Altman also showed off GPT-4 Turbo, the latest version of the technology that powers ChatGPT. He said it now can support input that’s equal to about 300 pages of a standard book, about 16 times longer than the previous iteration."
15,NEUTRAL,0.6170287132263184,"The platform will also have expanded knowledge through April 2023 “and continue to improve over time,” Altman said. “We are just as annoyed as all of you, probably more, that GPT’s knowledge of the world ended in 2021,” he added."
16,NEUTRAL,0.5545551180839539,"The company also said it is cutting the price for developers, to $0.01 for 1,000 input tokens, which is about three times cheaper than GPT-4. This would allow developers to save on overall costs when running high volumes of information through its systems."
17,POSITIVE,0.7824947834014893,"Other improvements to the software include more modalities, such as enhanced text-to-speech with a more natural sounding audio with six preset voices to choose from."
18,POSITIVE,0.8149347305297852,"Altman said OpenAI is also doubling down on safety and privacy, noting chats with the tools are not shared with builders."
19,POSITIVE,0.7179386019706726,"The company also introduced Copyright Shield, which will allow OpenAI to step in and defend customers –- and pay costs incurred –- if copyright infringement becomes an issue. Rivals such as Google and Adobe have taken a similar approach."
20,NEUTRAL,0.6745234727859497,"In the meantime, OpenAI emphasized the latest announcements are only part of what’s still ahead."
21,POSITIVE,0.8358092308044434,You can now speak aloud to ChatGPT and hear the artificial intelligence-powered chatbot talk back.
22,POSITIVE,0.7564715147018433,"OpenAI, the startup behind the wildly-popular chatbot, announced Monday that it is rolling out new features including the ability to let users engage in a back-and-forth voice conversation with ChatGPT."
23,POSITIVE,0.8311221599578857,The new voice features from OpenAI carry similarities to those currently offered by Amazon’s Alexa or Apple’s Siri voice assistants.
24,NEUTRAL,0.6096135377883911,"ChatGPT’s voice capability is “powered by a new text-to-speech model, capable of generating human-like audio from just text and a few seconds of sample speech,” Open AI said in the blogpost. The company added that it collaborated with professional voice actors to create the five different voices that can be used to animate the chatbot."
