,result,score,target
0,NEGATIVE,0.371407687664032,"The growing popularity of artificial intelligence (AI) is expected to lift sales of personal computers (PCs) in the coming years, as hardware firms rush to embed the technology into devices, according to recent research by IT consultancy IDC."
1,NEGATIVE,0.18511396646499634,Shipments of PCs have slowed in the past two years after a wave of pandemic-induced purchases from consumers working from home in 2020 and 2021. The Asia-Pacific PC market – which includes desktop and laptop computers and workstations – is estimated to fall 7.6 per cent this year after a 11.6 per cent slump in 2022.
2,NEGATIVE,0.2387888878583908,"However, manufacturers are counting on the rising adoption of generative AI products, which include the likes of Microsoft-backed OpenAI’s ChatGPT and Chinese internet search giant Baidu’s Ernie Bot, to spur consumers to upgrade to devices with built-in AI capabilities, driving up demand in an otherwise sluggish PC market, according to IDC."
3,POSITIVE,0.8044256567955017,"OpenAI announced this week at its first-ever developer conference that ChatGPT, which was launched just a year ago, now has over 100 million weekly active users globally."
4,POSITIVE,0.7006518244743347,How does China’s AI stack up against ChatGPT?
5,POSITIVE,0.7006518244743347,How does China’s AI stack up against ChatGPT?
6,NEUTRAL,0.41628000140190125,"Baidu’s Ernie Bot, launched in March, had amassed over 70 million users in China, said Wang Haifeng, the company’s technology chief, on Thursday at the annual World Internet Conference that took place in the picturesque canal town of Wuzhen, in eastern Zhejiang province."
7,NEGATIVE,0.2754155397415161,ChatGPT is officially unavailable in China.
8,NEUTRAL,0.5120811462402344,"Users have been eagerly experimenting with the latest generation of AI chatbots, which are capable of handling tasks such as summarising long text, drafting emails and work reports, transcribing and translating recordings in various languages, among other functions."
9,NEUTRAL,0.5960159301757812,PC makers are working to integrate those capabilities with their products.
10,NEUTRAL,0.5782020092010498,"Lenovo aims to turn “personal computers” into “personalised computers” with AI technology, vice-president Ablikim Ablimit said at an industry event in Beijing on Thursday."
11,POSITIVE,0.8176832795143127,Your weekly round-up of the biggest trending tech stories from China.
12,NEUTRAL,0.5691282749176025,"An AI-powered laptop would be able to create work reports “based on [its learning of] your preference, your historic documents”, Ablimit told an audience at an event held in Beijing on Thursday. But reaching that goal would require the concerted effort of the whole PC and AI sectors, he added."
13,NEGATIVE,0.2041550576686859,"AI PCs, defined as computers equipped with chips that have built-in AI capabilities, are forecast to account for 86 per cent of the estimated 34 million laptops to be shipped in China in 2027, according to IDC."
14,POSITIVE,0.727160632610321,"Examples of AI-enabled processors include Advanced Micro Devices’ Ryzen Pro 7040 series launched earlier this year, which was described as one of the world’s first x86 processors with an integrated AI engine."
15,POSITIVE,0.7353630661964417,Smartphone makers are also trying to bring AI capabilities to handsets.
16,NEUTRAL,0.4001598358154297,"China’s Oppo, the world’s fourth-largest smartphone vendor according to recent data from research firm Canalys, “is very optimistic about the future integration of AI and large-language-model applications with smartphones”, head of Oppo Research Institute Jason Liao told reporters last month."
17,NEUTRAL,0.6572672128677368,"The company in August unveiled its proprietary large language model AndesGPT for testing, with the aim of upgrading its voice assistant Xiaobu to improve interactions with users."
18,NEUTRAL,0.5314868688583374,Sister brand Vivo also said last month it would add its own AI model into its new operating system OriginOS 4.
19,NEUTRAL,0.45442813634872437,"An AI model under attack could mistake giant pandas for humans or fail to detect harmful content, according to a research team in Beijing that says it discovered an effective method for attacking ChatGPT and other popular commercial AI models."
20,POSITIVE,0.7188231945037842,"Doctored images used by the researchers appeared almost identical to the original, but they could effectively circumvent the models’ mechanisms designed to filter out toxic information."
21,POSITIVE,0.8129127621650696,"The findings highlight significant security concerns within artificial intelligence and help shed light on the vulnerabilities of commercial multimodal large language models (MLLMs) from tech giants including Google, Microsoft and Baidu."
22,NEUTRAL,0.5084117650985718,"At the inaugural Global AI Security Summit held in the UK last week, representatives from the US, Britain, the European Union, China and India signed the Bletchley Declaration, an unprecedented deal to encourage safe and ethical development and use of AI."
23,NEUTRAL,0.4735068678855896,"Wu Zhaohui, China’s vice-minister of science and technology, took part in the conference and presented proposals, advocating for stronger technical risk controls in AI governance."
24,NEUTRAL,0.47222912311553955,Zhu Jun and Su Hang from Tsinghua University’s department of computer science and technology said in a paper that criminals could exploit these inherent AI vulnerabilities to produce harmful content. The paper did not detail how those weaknesses could be exploited.
