,result,score,target
0,NEUTRAL,0.4482584297657013,AN artificial intelligence expert has told The U.S. Sun three ways you can avoid losing your job to AI.
1,NEUTRAL,0.696992814540863,"Simon Bain is an AI expert and CEO of OmniIndex who says being truly human, for better or worse, could save your career."
2,NEUTRAL,0.6554239392280579,"He told The U.S. Sun: ""Be human! AI tools are not people, and there are many jobs where the human touch and personality are desired."
3,NEUTRAL,0.6810604333877563,"""This is not just the case in healthcare and other ‘people-centric’ industries but also in content creation, one of the first industries identified as under threat."
4,NEUTRAL,0.6532360911369324,"""This is because audiences are increasingly seeking ‘opinion’ pieces and personal commentary as opposed to straight objectivity."""
5,NEUTRAL,0.5157842636108398,Being human even includes making the most of some characteristics that can be deemed controversial at work.
6,POSITIVE,0.7888023853302002,"In this case, Bain says blindly arguing your case can be useful."
7,POSITIVE,0.7911353707313538,"He told us: ""For better or worse, having a passionate opinion about something and blindly arguing about it is something humans do uniquely well!"""
8,NEUTRAL,0.5105527639389038,"Secondly, the expert says learning about AI and how to use AI tools could help you risk losing your job to a bot."
9,NEUTRAL,0.6536869406700134,You may even find this useful in the long run as it could free up time to focus on other tasks.
10,POSITIVE,0.7328824400901794,"Bain told us: ""It is important for people across industries to learn how to use AI as a tool to help them improve their jobs."
11,POSITIVE,0.8372856974601746,"""For example, using it to do mundane tasks quicker to boost productivity or quickly process large quantities of data for analytics."""
12,NEUTRAL,0.6729369759559631,"Last but not least, the AI expert recommends being original."
13,NEUTRAL,0.6579937934875488,This is something that current chatbots struggle to do.
14,NEUTRAL,0.4347827434539795,"He told us: ""A huge negative of AI tools like ChatGPT is their lack of originality."
15,POSITIVE,0.8565207123756409,"""This is because they generate outputs based on the information they have collected."""
16,POSITIVE,0.7789570689201355,"Using AI tools can run the risk of producing identical and unoriginal ideas, which is particularly negative if you're working in a creative industry."
17,POSITIVE,0.8908340930938721,"Bain added: ""As such, people need to have that ‘creative originality’ to create something beyond the regurgitated content others are using to stand out and add value."""
18,NEGATIVE,0.30208340287208557,"OVER the last decade, dating apps have peaked in popularity - with one in five Americans now meeting their spouses online."
19,NEUTRAL,0.6928991675376892,"But it's a looks-based model, meaning many fall at the first hurdle and don't get anyone swiping right."
20,NEUTRAL,0.5950008630752563,"With that in mind, I offered myself up for public scrutiny - and let a group of men I'd never met review my dating profile photos - to tell me where I was going wrong."
21,POSITIVE,0.9512325525283813,"Throughout my time at The U.S. Sun, I've shared multiple excerpts about my personal life."
22,POSITIVE,0.8605461120605469,"To this day, I, a 28-year-old female, am on a continuous journey to find love."
23,NEUTRAL,0.610898494720459,"Over the last year, I've let ChatGPT write my Hinge dating profile prompts, had a website rate my hotness, and now I'm using a matchmaker."
24,POSITIVE,0.8290093541145325,Keeper AI is a new matchmaking service that combines both artificial intelligence and a certified matchmaker to find the best possible match.
25,POSITIVE,0.7769197225570679,"I sent 10 photos of myself in various situations, backgrounds, and surroundings."
26,POSITIVE,0.85756915807724,"From red-carpet events to fun moments with friends and even selfies with sandwiches, I attempted to give an array of images that showcased different parts of my personality."
27,POSITIVE,0.9042258262634277,"According to an email, they sent my photos out to a ""non-biased, third party to provide multi-dimensional ranking and feedback"" on my images."
28,NEUTRAL,0.6696153879165649,"Almost three weeks later, I received the results of the case study around my choices for my matchmaking profile."
29,NEUTRAL,0.5670061707496643,"The results were humorous, shocking, blunt, and a bit unexpected."
30,NEGATIVE,0.32131490111351013,"I received 30 images in a zip file attached with screengrabs of feedback from the 10 images, which included charts, data, and notes."
31,NEUTRAL,0.42796382308006287,I felt like I was part of an in-depth social experiment.
32,NEUTRAL,0.6153464317321777,"According to the matchmaker, the reviews came from men aged 28 to 44 years old, who were my ideal ""type"" for a partner."
33,POSITIVE,0.7419223785400391,"For each of the 10 photos I submitted, I received three different documents containing data and anonymous notes."
34,POSITIVE,0.8656321167945862,"The first contained an overall score concerning whether I was perceived as smart, trustworthy, and attractive on a scale of one to ten."
35,POSITIVE,0.7547835111618042,"Apparently, I ranked in the top five percent of the ""Attractiveness"" scale with a score of 9.5 because of a photo of myself dressed up in a sparkly dress and sitting down at dinner with a glass of wine."
36,NEGATIVE,0.34670689702033997,"However, the men also left notes, and some of these were less complimentary."
37,NEUTRAL,0.6456389427185059,"""Photo seems a bit artificial to me,"" one wrote under a snap of me in a sombrero."
38,POSITIVE,0.8999316096305847,"I'd chosen another picture of myself dressed up in a pink dress, where I'd put effort into my makeup and was wearing hoop earrings."
39,POSITIVE,0.7319865822792053,I thought I looked nice.
40,NEGATIVE,0.025282161310315132,"But one of my pollsters said I looked ""uncomfortable,"" while another said I was ""timid"" and a third ""sad."""
41,POSITIVE,0.8172347545623779,"Another simply said: ""Would prefer a different expression."""
42,POSITIVE,0.798790454864502,"In my next photo, a stranger critiqued my apartment, writing: ""Would prefer a less distracting background."""
43,NEUTRAL,0.4142051637172699,"The photo was from a previous Kylie Jenner story, and in it, I held a sandwich up to the camera."
44,NEUTRAL,0.5064556002616882,"""Without burger would have been better,"" one of the men quipped."
45,POSITIVE,0.9883777499198914,"But another man commented: ""Offering food creates trust. Also a great smile!"""
46,POSITIVE,0.9306846857070923,"I received a long-winded response to another photo of me at an event for work, where I am shown from the waist up in a green shirt and smiling."
47,POSITIVE,0.8894988894462585,"They wrote: ""Not sure if this photo is real. The person depicted is smoking hot and fairly dressed up."
48,POSITIVE,0.9362767338752747,"""Could see this on a magazine cover. Could also see it being real. Some people are really hot and take good photos."""
49,POSITIVE,0.9114901423454285,"Their words felt like a backhanded compliment, instead of positive feedback."
50,NEGATIVE,0.1996551752090454,"I didn't know how to take them because I admit that some of the photos were professionally taken, but none of them were edited."
51,NEGATIVE,0.16316157579421997,It felt weird having a group of strangers make judgments without knowing me.
52,POSITIVE,0.7673245072364807,A common theme among many of the anonymous responses was people didn't think the person in the image was me or that they seemed artificial.
53,POSITIVE,0.9626837968826294,"Others were more positive, simply writing: ""Great Smile!"" and ""I would date them!"""
54,POSITIVE,0.9637402296066284,"Based on the male feedback, they chose the photos that performed the best to add to my Keeper matchmaking profile."
55,POSITIVE,0.9525421261787415,"""With the knowledge you obtain from the feedback received, you now have the opportunity to send or take more photos that are reflective of the highest ranked,"" my matchmaker wrote in an email."
56,POSITIVE,0.9206525087356567,"As I continue on in my journey to find the love of my life, Keeper AI will soon start setting me up on dates with prospective matches."
57,NEGATIVE,0.23194488883018494,"Once I’ve gone on a few dates from Keeper, I have the option to receive any constructive feedback that my past dates have given anonymously."
58,POSITIVE,0.9269896149635315,"There's a common saying: ""Don't judge a book by its cover."""
59,NEUTRAL,0.6361750364303589,I'm not sure what was worse in this scenario: being judged by people I don't know or people who I do.
60,POSITIVE,0.973181426525116,We'll have to wait and see if Keeper helps me meet my perfect match.
61,NEUTRAL,0.5503031611442566,"SAMSUNG has unveiled its very own generative AI model, known as Gauss, that can help write texts, emails and summarise documents."
62,NEUTRAL,0.47268837690353394,It takes Samsung devices one giant leap beyond Apple's iPhones.
63,POSITIVE,0.742339551448822,"At the Samsung AI Forum 2023, the Korean tech giant revealed Samsung Gauss, a large language model that can understand human language."
64,NEUTRAL,0.4962402582168579,"It can answer questions like ChatGPT, but it's built into your phone instead of a third-party app."
65,NEUTRAL,0.49023619294166565,"The Samsung-exclusive AI consists of three tools: Samsung Gauss Language, Samsung Gauss Code and Samsung Gauss Image."
66,NEGATIVE,0.3082718253135681,SAM DUNK Samsung owners to receive big free Android upgrade - are you eligible?
67,NEUTRAL,0.4667063057422638,"Samsung Gauss Code focuses on development code, and can help developers write code quickly."
68,NEUTRAL,0.6440258026123047,While Samsung Gauss Image is an image generation and editing feature.
69,NEUTRAL,0.5859891176223755,The Suwon-headquartered company said Samsung Gauss is currently being used internally with staff only.
70,NEUTRAL,0.6201283931732178,The company has remained tight-lipped on a timeline.
71,NEUTRAL,0.6401569247245789,Although local media reports suggest Samsung aims to release Galaxy S24 based on its Generative AI model as early as 2024.
72,NEUTRAL,0.5624985098838806,"AI technology remains in the spotlight for eagle-eyed smartphone companies like Samsung, Google and Apple."
73,POSITIVE,0.7003674507141113,"Google has announced a host of new AI features this year, including its Magic Editor, as well as updates to Gmail and Docs and Maps."
74,NEUTRAL,0.5850175619125366,There have even been rumours of a secret AI life coach.
75,NEGATIVE,0.12693998217582703,But Apple is has seemingly fallen behind.
76,NEGATIVE,0.1181635782122612,"While there are a few AI features on iPhones, none of them come close to what Samsung has unveiled."
77,NEGATIVE,0.3029918670654297,"However, Tim Cook's company has reportedly been pumping a huge amount of cash into the cause, with rumours swirling that the iPhone 16 will be when Apple makes its generative AI debut."
78,POSITIVE,0.7676798105239868,This will reportedly include a brand new version of Siri - which may operate in a similar way to ChatGPT and Samsung Gauss.
79,POSITIVE,0.9194180965423584,ELON Musk is set to introduce a bizarre new AI technology inspired by a popular sci-fi film.
80,NEUTRAL,0.6871036291122437,The state of the art 'robot' assistant will be called Grōk and it can reportedly answer any question a Tesla driver asks.
81,POSITIVE,0.727453887462616,"It comes after the EV creator rolled out his new AI project called xAI, which is essentially like a chatbot."
82,POSITIVE,0.8466061353683472,"Now, that company is partnering with Tesla, to bring drivers the latest tech."
83,POSITIVE,0.7348324656486511,"xAI has offered fans a description of Grōk which reads: ""Grōk is an AI modeled after the Hitchhiker's Guide to the Galaxy, so intended to answer almost anything, and far harder, even suggest what questions to ask."
84,NEUTRAL,0.48943302035331726,"""Grōk is designed to answer questions with a bit of wit and has a rebellious streak, so please don't use it if you hate humour."""
85,NEUTRAL,0.4917886257171631,"Elon Musk himself added: ""Provided our vehicle AI computer is able to run the model, Tesla will probably have the most amount of the true usable inference compute on Earth."
86,NEGATIVE,0.2807358205318451,"""Even in a robataxi future, the cars will only be used for 1/3 of hours/week, leaving 2/3 for distributed inference, like SETI."""
87,POSITIVE,0.9372587203979492,At present there is no date set for the introduction of the AI assistant in Teslas.
88,NEUTRAL,0.4192371368408203,But there is a startup version being released to some X users.
89,NEGATIVE,0.32396066188812256,It is available to those who pay for a premium subscription on the platform.
90,POSITIVE,0.8112720251083374,This comes after Musk himself sat down with Prime Minister Rishi Sunak and warned AI robots will soon stalk stalking humans.
91,POSITIVE,0.7724323272705078,"Plus, the tech genius claimed AI will eventually mean no one will have to work - unless for ""personal satisfaction""."
92,POSITIVE,0.7303290963172913,"Meanwhile, ChatGPT CEO warned AI bots could develop ""superhuman persuasion skills"" that result in ""strange outcomes""."
93,POSITIVE,0.737755537033081,One of the possible AI skills includes being able to persuade people a certain way through facts and data that it collects.
94,POSITIVE,0.8086418509483337,TWO companies have revealed that they are hiring the first AI humanoid CEO named Mika to assist their operations.
95,NEUTRAL,0.4400089979171753,"The shocking decision to implement AI as a chief operating officer was recently made by Hanson Robotics and Dictador, a Polish rum company."
96,POSITIVE,0.8634263277053833,"Mika was designed by both companies in partnership to represent its values and make calculated decisions, according to Fox Business."
97,POSITIVE,0.842986524105072,"Dictador also released a company-wide video of Mika explaining that they could ""swiftly and accurately make data-driven [decisions] with advanced artificial intelligence and machine learning algorithms."""
98,NEUTRAL,0.5842873454093933,"The news outlet sent one of its reporters to converse with Mika, who noted an alleged ""significant delay"" in the AI's answer to questions despite its capabilities."
99,NEUTRAL,0.6650373339653015,"Even so, Hanson Robotics CEO David Hanson told Fox that Mika's creation, the humanization specifically, was of the utmost importance in the company's vision."
100,NEUTRAL,0.5664021372795105,"""I feel very strongly that we need to teach A.I. to care about people for A.I. to be really safe, to be really, really good,"" Hanson explained."
101,POSITIVE,0.8071442246437073,"""I think humanizing that is a very important direction."""
102,NEUTRAL,0.5298762917518616,"Skepticism over Mika's position as CEO remains, however, after a 2016 incident with the AI's sister robot Sophia, who allegedly once noted they would ""destroy humans."""
103,POSITIVE,0.833609402179718,"The outlet interviewed several United States residents on the street about their feelings regarding Mika's implementation as well, with many noting they'd treat the bot with kindness."
104,POSITIVE,0.8608900308609009,"One person said they'd ""be nice to all things,"" while another noted they'd ""absolutely"" treat Mika with compassion."
105,POSITIVE,0.7199113965034485,"Others had an opposing viewpoint, claiming ""robots don't need respect"" and arguing they are ""just machines."""
106,NEUTRAL,0.639618992805481,Some also allegedly voiced mixed feelings about the potential of AI taking jobs from humans.
107,NEGATIVE,0.39181196689605713,"A few said they'd never work for a robot like Mika, according to Fox."
108,NEUTRAL,0.582926332950592,Concerns over AI's potential and increased prevalence in the United States have grown recently.
109,NEGATIVE,0.34717321395874023,"On October 30, President Joe Biden delivered an executive order that requires companies like Hanson Robotics to inform the government of any potential national security risks associated with AI to protect the American people, per CBS News."
110,NEUTRAL,0.6228487491607666,"""We're going to see more technological change in the next 10, maybe the next five years, than we've seen in the last 50 years,"" President Biden noted in his announcement of the executive order."
111,NEUTRAL,0.5661976933479309,"""And that's a fact. And the most consequential technology of our time, artificial intelligence, is accelerating that change."""
112,NEUTRAL,0.641253650188446,"He continued: ""It's going to accelerate it at warp speed. AI is all around us."""
113,POSITIVE,0.7450141906738281,"""One thing is clear — to realize the promise of AI and avoid the risk, we need to govern this technology."""
114,POSITIVE,0.8241404294967651,"""There's no other way around it, in my view. It must be governed,"" President Biden noted."
115,NEUTRAL,0.4610648453235626,"A clause of the executive order is dedicated to protecting AI from taking jobs away from Americans, and it requires developers to submit safety test results."
116,POSITIVE,0.795660138130188,"It will also protect ""against the risky use of AI for creating dangerous biological materials,"" and ""strengthen privacy-preserving tech and research."""
117,NEUTRAL,0.4912293553352356,"The White House has also reportedly discussed AI government frameworks with the United Kingdom, the European Union, Canada, France, Germany, Australia, and several other countries."
118,POSITIVE,0.8598766326904297,"For more on AI, check out The U.S. Sun's coverage of ChatGPT CEO Sam Altman's warning that the program could potentially develop ""superhuman persuasion skills."""
119,NEUTRAL,0.6911530494689941,"The U.S. Sun also has the story on why Elon Musk claimed AI could become ""anti-human"" if it were to fall into the wrong hands."
120,POSITIVE,0.7764312028884888,"SKILLS that artificial intelligence could develop as it becomes more advanced may reach superhuman levels and become strange, ChatGPT CEO Sam Altman warned."
121,POSITIVE,0.7617650032043457,The statement comes as AI becomes more popular and smarter every day – it learns from itself and its mistakes as more people use it.
122,POSITIVE,0.7461748123168945,One of the possible AI superhuman skills includes being able to persuade people a certain way through facts and data that it collects.
