,result,score,target
0,POSITIVE,0.7113105654716492,"WASHINGTON - Tim Scott, US senator from South Carolina, announced Sunday night that he was dropping out of the 2024 Republican presidential campaign."
1,NEUTRAL,0.47854331135749817,"""When I go back to Iowa, it will not be as a presidential candidate. I am suspending my campaign,"" said Scott, the only Black Republican senator, on a Fox News program."
2,NEGATIVE,0.3717817962169647,The announcement came as a surprise for many of Scott's aides and donors although the South Carolina Republican was already struggling with poll numbers stagnating.
3,POSITIVE,0.7742571234703064,"According to CNN, following last week's third Republican presidential debate, the super political action committee supporting Scott decided not to make a new investment."
4,POSITIVE,0.9219142198562622,"""Tim Scott is a strong conservative with bold ideas about how to get our country back on track. I respect his courage to run this campaign and thank him for his service to America and the US Senate. I look forward to Tim continuing to be a leader in our party for years to come,"" Florida Governor Ron DeSantis responded with a post on X, formerly Twitter."
5,NEGATIVE,0.2218073308467865,Scott's departure from the Republican presidential race came roughly two weeks after former Vice President Mike Pence suspended his campaign in late October.
6,POSITIVE,0.7378485798835754,"The race has been dominated by former President Donald Trump, who is facing four criminal indictments."
7,NEUTRAL,0.5496588945388794,"Editor's note: China and the US, as the two biggest economies globally, should overcome challenges and restore bilateral relations, which is not only crucial for both countries but also for the Asia-Pacific region and the rest of the world. Three experts offer their insights to China Daily."
8,NEUTRAL,0.6676547527313232,What does easing of Sino-US ties signify?
9,NEGATIVE,0.3926447629928589,"High-level interactions between China and the United States have increased in recent months, fostering a warmer atmosphere. New dialogue mechanisms and communication channels have been established, including the creation of working groups to tackle economic, financial, and business issues. The two countries are also engaging in dialogue and negotiations on diplomacy, climate change, the Korean Peninsula nuclear issue, arms control and nuclear non-proliferation."
10,NEGATIVE,0.39596250653266907,"Last month, Foreign Minister Wang Yi visited the US, laying the groundwork for the participation of President Xi Jinping in the APEC Economic Leaders' Meeting in San Francisco from Nov 14 to 17 and the meeting between the Chinese and US leaders."
11,NEUTRAL,0.46198534965515137,"Both Beijing and Washington are working to normalize bilateral ties, with the US reiterating its commitment to the one-China principle and its stance that doesn't support ""Taiwan independence"". The US side has stressed it does not seek ""decoupling"" from China, and the Joe Biden administration has extended the agreement between the two countries on cooperation in science and technology by six months. In a reciprocal gesture, China has signed agreements to make its first bulk purchase of US agricultural products in six years. That the deal is worth billions of dollars shows China's willingness to improve relations with the US."
12,NEUTRAL,0.6326990127563477,"While there has been a slight improvement in Sino-US relations due to high-level interactions, it's important to realize that no substantial breakthrough has been achieved. Both countries are engaged in primary-level dialogue and communication, but a lack of strategic mutual trust has prevented the two sides from reaching a consensus on any issue, especially because the US is yet to take any substantial action to rebuild mutual trust."
13,NEGATIVE,0.33611640334129333,"Also, the Biden administration continues to exert pressure on China by resorting to a two-pronged strategy. In August, Biden signed an executive order restricting investments in sensitive technology sectors such as semiconductors, quantum computing and artificial intelligence, and demanded that US companies report their investments in other technology sectors in China to the US administration. And on Oct 17, the US Department of Commerce imposed new export controls, significantly restricting exports to China."
14,NEGATIVE,0.3493305742740631,"Worse, the Biden administration approved a new economic deal with Taiwan, providing military assistance to the island through the presidential drawdown authority and then announcing the 11th round of arms sales to Taiwan, in a bid to support Taiwan in resisting reunification by force."
15,NEUTRAL,0.5375842452049255,"On the South China Sea issue, the US continues to sow discord between China and its neighbors. It has strengthened its relations with Vietnam and is supporting the Philippines in its provocative moves at China's Ren'ai Reef. The US has also imposed illegal sanctions on Chinese officials citing the so-called Tibet issue, which is a direct interference in China's internal affairs."
16,POSITIVE,0.8151152729988098,"Besides, US Secretary of State Antony Blinken, after visiting China, said that it is no secret that there are differences between the US and China, and Washington will continue to stand for its interests, stand up for its values and continue to do things and say things that Beijing doesn't like."
17,POSITIVE,0.7718101143836975,"The US' current policy toward China is a combination of engagement and dialogue alongside strategic competition. The dialogue helps the US in the strategic competition with China. In fact, the improvement in Sino-US relations can be largely attributed to the Biden administration's tactical adjustments in its policy toward China. The reasons behind these adjustments are not complex."
18,POSITIVE,0.785489022731781,"First, Biden's moves are in response to concerns raised by rational voices within the US that have warned that the US' China policy is unbalanced, emphasizing that intensive competition with China leads to excessive tensions."
19,NEUTRAL,0.45017027854919434,"Second, the Biden administration recognizes the need for China's cooperation to address various global issues, such as the Russia-Ukraine conflict, regional instability, climate change, economic and trade matters, international finance, and the opioid crisis in the US."
20,POSITIVE,0.9296836256980896,"Third, as the host of the Asia-Pacific Economic Cooperation meeting, the US is keen to demonstrate its global leadership and improve its international image. It attaches great importance to persuading China's top leadership to participate in the APEC event and arrange for a meeting between the two countries' leaders."
21,NEUTRAL,0.5918365716934204,"And fourth, Biden is strategically positioning himself for the 2024 US presidential election. It is a known fact that China-related issues will feature prominently in the presidential debates next year, which makes Biden's approach toward China a strategic and tactical move rather than a fundamental shift in policy. In fact, the US has been adjusting its China policy since the Barack Obama administration's ""pivot to Asia"" strategy."
22,NEUTRAL,0.5905224084854126,"Whether from the perspective of the US' China policy, the current state of Sino-US relations or the US' domestic political landscape, the Biden administration does not intend to fundamentally change the current policy of taking a tough stance against China."
23,POSITIVE,0.7673712372779846,"As long as the US maintains its sense of superiority, its hegemonic mindset and its ideological biases toward China, it will not change its ""China-containment"" strategy."
