,result,score,target
0,POSITIVE,0.8947067856788635,"Jewish community leaders and celebrities are scheduled to speak at the event, which comes amid heightened tension around the world over the ongoing Israel-Hamas war and an unprecedented surge in antisemitic incidents in the US."
1,NEUTRAL,0.6866776347160339,"“The March for Israel will be an opportunity for all Americans to come together in solidarity with the people of Israel, to demonstrate our commitment to America’s most important ally in the Middle East, to condemn the rising trend of antisemitic violence and harassment, and to demand that every hostage be immediately and safely released,” organizers said in a statement."
2,NEUTRAL,0.5325571298599243,"The Department of Homeland Security has determined the event will require “extensive federal interagency support,” according to law enforcement sources."
3,NEUTRAL,0.4753115475177765,"The agency has deemed the march a “Level 1” security event, the highest in its ranking system, which takes into account national importance, potential threats and the level of resources required to ensure public safety, the sources said."
4,NEUTRAL,0.40571457147598267,"There are no credible threats or counter demonstrations identified for the Tuesday’s march, according to a US Capitol Police intelligence assessment obtained by CNN."
5,NEUTRAL,0.6020748019218445,"The Level 1 designation allows the federal government to fill possible gaps in local security, including explosive detection, cyber risk assessments and venue screening."
6,NEUTRAL,0.5056394934654236,DC Mayor Muriel Bowser said the National Guard will be on site to assist local police.
7,POSITIVE,0.7501038312911987,"The march will take place from 1 to 3 p.m., with gates opening at 10 a.m. Organizers include the Jewish Federations of North America and the Conference of Presidents of Major American Jewish Organizations."
8,NEUTRAL,0.6661509275436401,"American support for Israel is critical, said Eric D. Fingerhut, president and CEO of the Jewish Federations of North America."
9,NEGATIVE,0.3727964162826538,"“On October 7th, merciless Hamas terrorists launched the deadliest attack on Israel in its 75-year history, brutally murdering the most Jewish people in a single day since the Holocaust,” Fingerhut said in a written statement."
10,NEGATIVE,0.10926905274391174,"Hamas launched a coordinated attack on Israel from Gaza on October 7, killing an estimated 1,200 people, including children, and kidnapping about 200 hostages. The massacre in Israel coincided with rising reports of antisemitism in the US and other countries."
11,NEUTRAL,0.4780270457267761,"Israel retaliated by launching airstrikes on Gaza targeting Hamas, which often uses civilians as human shields. But the bombardment has also killed Palestinian civilians."
12,NEUTRAL,0.4131331443786621,"More than 11,000 people have been killed, according to the Palestinian Ministry of Health in Ramallah, drawing from sources in Hamas-controlled Gaza. A UNICEF spokesperson says the organization’s figures have historically matched those of the of the Hamas-controlled health ministry."
13,NEGATIVE,0.22138670086860657,"Tuesday’s march comes as other protests have denounced Israel’s airstrikes in Gaza, which have destroyed homes and schools and severed access to life-saving care. Some Jewish activists are among those calling for a ceasefire to prevent more civilian deaths."
14,NEUTRAL,0.4914604127407074,"Just blocks away from the site of Tuesday’s march, throngs of demonstrators recently gathered at Freedom Plaza in Washington to support Palestinian civilians and demand a ceasefire. Pro-Palestinian demonstrators have been arrested at similar events near the Capitol."
15,NEGATIVE,0.385621577501297,"While many have called for a humanitarian pause in the fighting, so that Palestinian civilians can be moved to safety, Israel has firmly rejected it, as long as Hamas continues to hold hostages. But Israel has agreed to four-hour, daily pauses in military operations in Gaza to allow for evacuations."
16,POSITIVE,0.8752666115760803,CNN’s Holmes Lybrand and Josh Campbell contributed to this report.
17,POSITIVE,0.7481219172477722,"When President Joe Biden meets Chinese President Xi Jinping on Wednesday for a rare, high-stakes summit, two major wars – the Ukraine-Russia conflict, now deep into its second year, and the Israel-Hamas war that has entered its second deadly month – will serve as the backdrop amid extraordinary global tumult."
18,NEUTRAL,0.6874752640724182,"Members of the American and Chinese delegations plan to discuss both conflicts in their intensive, multi-hour meetings in the San Francisco Bay Area, according to senior administration officials, and Biden and his national security advisers will seek to convince their Chinese counterparts it is in Beijing’s interests to use its leverage with Russia and Iran to keep both wars contained."
19,NEUTRAL,0.5953319072723389,"The global unrest ratchets up the stakes of Biden’s sit-down with Xi, their first face-to-face meeting in a year. As Biden confronts two presidency-defining conflicts in Ukraine and Israel, he is eager to improve ties with Beijing and prevent another crisis from exploding on his watch. The US has sought to manage expectations for the talks, pointing to the restoration of military communication and an agreement to curb narcotics trafficking as top objectives."
20,NEGATIVE,0.12495239078998566,"He said that included “corresponding, being able to pick up the phone and talk to one another if there’s a crisis, being able to make sure that our militaries still have contact with one another.” American officials have been working to restore military communications with China after Beijing severed them last year."
21,POSITIVE,0.7950416803359985,"Among US concerns is the risk for miscalculation or miscommunication that leads to conflict, including in the tense waters around Taiwan and the South China Sea."
22,NEUTRAL,0.5453668236732483,He cited China’s relative economic weakness and said he was looking to cement a relationship that benefits both countries.
