,result,score,target
0,NEUTRAL,0.4571915864944458,Relatives of hostages held in Gaza since Hamas’s October 7 attack on Israel set out Tuesday on a five-day protest march to Jerusalem to demand action to bring their loved ones home.
1,NEGATIVE,0.05370226874947548,"Hundreds of demonstrators were to make the 63km (40-mile) march from Tel Aviv to Prime Minister Benjamin Netanyahu’s office to demand “the immediate release of all the hostages”, the Hostages and Missing Families Forum said."
2,NEGATIVE,0.30368608236312866,"Formed in the wake of the October 7 attacks on Israel, in which Hamas militants killed around 1,200 people and kidnapped about 240 more, according to Israeli authorities, the group works to keep the spotlight on the captives’ fate."
3,NEGATIVE,0.1320304274559021,"Yuval Haran, whose father, Avshalom, was killed and whose mother, Shoshan, was taken hostage along with six other family members, was behind the march initiative, organisers said."
4,NEUTRAL,0.6180944442749023,"Portraits of the hostages adorned black T-shirts and posters as more than 100 relatives and their supporters set out from the square outside the Tel Aviv Museum of Art, the epicentre of the hostage protests."
5,NEUTRAL,0.5705474019050598,"“A deal for the hostages now,” read signs held by several demonstrators."
6,NEUTRAL,0.6080359220504761,Recent days have seen reports surface about negotiations between Israel and the Palestinian militant group Hamas.
7,POSITIVE,0.7117542028427124,Netanyahu raised the possibility of a deal to release the hostages in an interview with NBC on Sunday.
8,NEUTRAL,0.5135173797607422,"On Monday, Hamas’s military wing accused Israeli authorities of dragging their feet in Qatari-mediated negotiations about the possible release of dozens of hostages in exchange for “200 children and 75 women” held in Israeli prisons."
9,NEUTRAL,0.5771623253822327,"In a statement, the Forum demanded the government disclose what “demands” it has “placed on the table” as part of a deal to release all of the hostages held in Gaza."
10,POSITIVE,0.7154869437217712,"Start your day with our briefing on business, politics and important news stories from Hong Kong, Asia, and beyond."
11,NEGATIVE,0.3952142000198364,"Israeli bombardment of the Gaza Strip has killed over 11,200 Palestinians, mostly civilians, including 4,630 children, according to the Hamas-run health ministry."
12,NEUTRAL,0.6438215970993042,"Europe will have “a lot of rivals” if it continues to conduct its foreign policy according to values, China’s ambassador to the EU warned on Tuesday."
