,result,score,target
0,NEUTRAL,0.6565037369728088,"Dr Munir al-Bursh, director-general of the Gaza health ministry, told Al Jazeera television that Israeli forces had raided the western side of the medical complex."
1,NEGATIVE,0.26952046155929565,"“There are big explosions and dust entered the areas where we are. We believe an explosion occurred inside the hospital,” Bursh said."
2,NEGATIVE,0.25519952178001404,"Gaza health ministry spokesperson Ashraf al-Qidra to Al Jazeera: “The occupation army is now in the basement, and searching the basement. They are inside the complex, shooting and carrying out bombings”."
3,NEGATIVE,0.3502420485019684,"Israeli forces first raided the surgery and emergency departments, Mohammed Zaqout, the Gaza health ministry’s director of hospitals, told Al Jazeera."
4,NEGATIVE,0.288446843624115,"Israel’s military has said it was carrying out a raid against Hamas in al-Shifa hospital early on Wednesday, conducting what it called a “precise and targeted operation against Hamas in a specified area” of the medical complex."
5,NEGATIVE,0.1788504272699356,"Less than an hour earlier, around 1am local time, a Gaza health ministry spokesperson said Israel had told officials in the territory that it would raid the hospital complex “in the coming minutes”. Al-Shifa is Gaza’s biggest hospital."
6,NEGATIVE,0.294101357460022,"Dr Munir al-Bursh, director-general of the Gaza health ministry, told Al Jazeera television that Israeli forces had raided the western side of the sprawling site. “There are big explosions and dust entered the areas where we are. We believe an explosion occurred inside the hospital,” Bursh said."
7,NEGATIVE,0.2778303027153015,A spokesperson for the Ministry of Health in Gaza has told Al Jazeera that Israeli forces are searching the basement of the al-Shifa Hospital.
8,NEUTRAL,0.6660181879997253,"This is the Guardian’s live coverage of the Israel-Hamas war with me, Helen Sullivan."
9,NEGATIVE,0.3313594460487366,"The top development this morning: the Israel Defence Forces (IDF) said early on Wednesday it was “carrying out a precise and targeted operation” against Hamas in al-Shifa hospital, the largest hospital in Gaza."
10,NEUTRAL,0.5886008143424988,"Gaza’s health ministry was quoted by Palestinian news agency Shebab as saying that “dozens of soldiers” have entered the al-Shifa emergency department building, and that tanks have entered the complex."
11,POSITIVE,0.8138700127601624,More shortly.
12,NEGATIVE,0.194637730717659,"A witness inside al-Shifa told the BBC they saw six tanks and more than 100 soldiers inside the hospital complex, in the area around the emergency department. The Guardian has not been able to verify the claims."
