,result,score,target
0,NEGATIVE,0.22398434579372406,"The move to leave X comes after months of concerns about hateful speech on the platform, as owner Elon Musk emphasizes his desire for what he calls “free speech” instead. Musk has also taken hits at digital online watchdog groups who criticized the company’s handling of hate speech and other troubling content, including suing the Center for Countering Digital Hate and threatening legal action against the Anti-Defamation League (the lawsuit against the ADL never materialized, and the group later resumed advertising on X)."
1,NEGATIVE,0.2345706820487976,Musk himself — whose daughter is transgender and said earlier this year that she wanted to cut ties with her father — has been criticized for some of his statements on X regarding gender identity issues.
2,POSITIVE,0.8524648547172546,"The Trevor Project also noted that its exit from X comes after hundreds of anti-LGBTQ+ bills, a record number, have been introduced into statehouses across the United States in 2023. Fellow civil rights organization the Human Rights Campaign in June declared a “state of emergency” for members of the LGBTQ+ community."
3,NEUTRAL,0.6939736008644104,"Indeed, many of the replies to the group’s recent posts on X are filled with dozens of angry and hateful comments, in some cases hidden behind a label that notes they may be offensive."
4,NEGATIVE,0.3866281807422638,"A year after Musk acquired the platform, X has been scrambling to stem the tide of users leaving the platform for alternatives in the wake of the billionaire’s controversial leadership style and policy changes. A number of new social platforms have cropped up over the past year, including Meta’s Threads, Mastodon, a new site backed by Twitter founder Jack Dorsey called Bluesky and a platform from former Twitter employees called Spill."
5,NEUTRAL,0.6349732875823975,The company has also been attempting to convince many advertisers to resume or increase their spending on the platform despite concerns that ads could show up alongside hateful content or misinformation. X CEO Linda Yaccarino has touted the platform’s brand safety controls that are meant to allow advertisers to choose what kinds of content their ads can appear next to.
6,NEGATIVE,0.1581423133611679,CNN has reached out to X about the Trevor Project deleting its account.
7,POSITIVE,0.8442051410675049,A new ruling by the Vatican’s doctrine department has opened the door to Catholic baptism for transgender people and babies of same-sex couples.
8,POSITIVE,0.9132739305496216,"The new rules, dated October 31, come from a set of questions, or dubia, submitted to the Dicastery for the Doctrine of the Faith (DDF) by Brazilian bishop Giuseppe Negri. The answers to his questions about certain sacraments were published on the Vatican’s website in Italian on Wednesday evening."
9,NEUTRAL,0.4345054030418396,"Regarding transgender people, the document says a person who identifies as transgender can be baptized like any other adult, “as long as there is no risk of causing scandal or disorientation” to other Catholics."
10,NEUTRAL,0.6035388112068176,"Children who identify as transgender can also be baptized if “well prepared and willing,” it says. The document also states that transgender people, including those who have undergone gender reassignment procedures, can be godparents and witnesses in Catholic weddings under the right circumstances."
11,POSITIVE,0.7095237970352173,"The document makes clear that people who live in homosexual relationships are still committing a sin, and that baptism must come with repentance for such sins. The document cites several sermons by Pope Francis for the ruling."
12,NEGATIVE,0.22694551944732666,"“The church is not a tollhouse; it is the house of the father, where there is a place for everyone, with all their problems,” the document states, quoting the pope’s 2013 apostolic exhortation Evangelii Gaudium."
13,NEUTRAL,0.5638427734375,"In each circumstance, the priest is asked to use “pastoral prudence” in deciding whether to allow a transgender person’s participation."
14,POSITIVE,0.7959504723548889,The document added that the priest should also take into consideration if there are other people in the extended family who can “guarantee” the “proper transmission of the Catholic faith” to the baptized person.
15,NEGATIVE,0.2736018896102905,LGBTQ issues were a major area of discussion during the Vatican’s recent synod.
16,NEGATIVE,0.2585310935974121,"However, the group warns that the ruling doesn’t go far enough."
17,POSITIVE,0.9293995499610901,"“If church leaders do not employ pastoral prudence with this guideline, it could be used by other officials to establish other policies which would exclude such people from other areas of church life,” DeBernardo writes."
