,result,score,target
0,NEGATIVE,0.2637622058391571,"Born intersex and raised as a boy, Polina has known for years that she wanted to live as a woman. But Russia’s sweeping curbs on gender-affirming healthcare have made that much more difficult."
1,NEGATIVE,0.27777040004730225,"The 33-year-old from Moscow said that since a new law – which targets transgender people – was passed in July, doctors have been wary about prescribing her female sex hormones and other gender-affirming treatment for fear they could lose their licences or face prosecution."
2,NEUTRAL,0.47939610481262207,"“The law likens any treatment, even if justified and vitally necessary, to wrongdoing,” Polina said in a message chat, asking for her surname to be withheld for privacy reasons."
3,POSITIVE,0.8651017546653748,Good looks and a strong style game clearly run in the Pascal family.
4,NEUTRAL,0.5073185563087463,"Last week, Pedro Pascal and his gorgeous transgender sister Lux arrived at the LACMA Art + Film Gala presented by Gucci in Los Angeles – and they made an insanely chic pair. The Last of Us actor wore a sleek black tuxedo with white piping while his sibling opted for a red lace dress and matching scarlet sandals."
5,NEUTRAL,0.5315389633178711,Here’s what you need to know about the actor’s fashionable sister.
6,POSITIVE,0.8314167857170105,"Pedro and Lux were both born to Verónica Pascal and José Balmaceda Riera. Lux was born in Chile in 1992, meaning she’s only 31 years old – 17 years younger than her 48-year-old actor brother. They also have two other siblings, per Today."
7,NEGATIVE,0.27840328216552734,"Lux has also gone into acting. Per her IMDB profile, she earned a Bachelor of Fine Arts at the Pontificia Universidad Catolica de Chile. Then in 2019, she enrolled in the MFA acting programme at the prestigious Juilliard School in New York, and graduated earlier this year."
8,NEUTRAL,0.6885676383972168,"She has already starred in various Chilean TV series, and even appeared alongside Pedro in Narcos, under a different name, according to her IMDB page."
9,POSITIVE,0.7838771939277649,"A few years back, Lux revealed in an interview that she was getting hormone treatment – and that Pedro had been supportive the whole way through."
10,POSITIVE,0.9276991486549377,"The Mandalorian actor has been very protective of his sister, and often celebrates her. In February 2021, he shared the Ya magazine cover with his sister on it, captioning the post, “My sister, my heart, our Lux” as translated from Spanish."
11,NEUTRAL,0.6381547451019287,"Our screens are about to get sizzling hot as two hunks have joined forces to star in one of this year’s most anticipated TV series – Fellow Travelers, released on October 27."
12,POSITIVE,0.933154284954071,"In case you haven’t heard already, Matt Bomer (White Collar) and Jonathan Bailey (Bridgerton) are starring in Showtime’s limited series inspired by Thomas Mallon’s 2007 novel of the same name. The cast list also features Jelani Alladin, Noah Ricketts and Allison Williams."
13,POSITIVE,0.9338434934616089,"The narrative follows the lives of two men who become star-crossed lovers after meeting in the early 1950s, and their challenging encounters with purges, wars, protests and plagues, as described in the series’ IMDB page."
14,POSITIVE,0.7693044543266296,"As openly gay men in Hollywood, Bomer and Bailey have long been hailed as icons in the LGBTQ+ community, and uniting them for this series seemed like a match made in heaven for many fans."
15,POSITIVE,0.9058285355567932,Here’s a look into their astronomical rise to fame and influence.
16,POSITIVE,0.9782625436782837,"Bailey, 35, started his career from a young age doing theatre, performing in famous West End production of Les Misérables, per his IMDB profile. Although he’s had numerous stints in TV shows and films over the years, it was his role as Lord Anthony Bridgerton in Netflix’s Bridgerton series that catapulted him to global stardom. Bailey is also set to star in Wicked with Ariana Grande, Ethan Slater and Michelle Yeoh."
17,NEUTRAL,0.4334985911846161,"Meanwhile, Missouri-born Bomer, 46, has been in the biz for longer, having acted in films like Magic Mike, In Time and as the lead character in TV series White Collar."
18,POSITIVE,0.847632884979248,"Both men have been actively sought out by luxury brands to represent their collections over the years. From Ralph Lauren and Omega to Brunello Cucinelli, Bailey has shown off his polished Englishman aesthetic by nodding to quiet luxury vibes in his outfits."
19,POSITIVE,0.81538987159729,"Bomer has a more colourful and vibrant side to him, rocking purple suits from Versace and stripy tuxes from Tom Ford on red carpets."
20,POSITIVE,0.922563910484314,What about their love lives?
21,POSITIVE,0.7098345756530762,"Bomer has been married for over a decade to 59-year-old publicist Simon Halls since tying the knot in 2011. Per Popsugar, the couple share three sons together, conceived through surrogacy."
22,NEUTRAL,0.5098616480827332,"Bailey has been much more private about his love life. Although he’s never officially confirmed a relationship, he was spotted kissing an actor called James Ellis in 2019, states the same source."
23,POSITIVE,0.8981376886367798,Growing up in the cutthroat industry of showbiz wasn’t all smooth sailing for Bailey and Bomer.
24,NEUTRAL,0.4356600046157837,"Bomer, who was raised in a conservative Christian home, told Out Magazine that his parents gave him “radio silence for a long, long time, at least six months” after he came out as gay to them, but he has since mended the relationship."
25,POSITIVE,0.8861045241355896,"In 2012, Bomer received the New Generation Arts and Activism Award for his activism in the fight against HIV/Aids at the Steve Chase Humanitarian Awards, per People."
26,POSITIVE,0.790634036064148,Troye Sivan is on a roll.
27,NEUTRAL,0.6408025026321411,"This month, the Australian singer released his third studio album Something to Give Each Other, which breezed its way to No 1 on his country’s Aria music chart last week, per Billboard."
28,POSITIVE,0.857584536075592,He also opened up to NPR about the songs he wrote about his romances with men and aspects of queer life.
29,NEGATIVE,0.1410759687423706,"“Of course, there’s a big element of pride in the fact that I am now so comfortably, openly gay. [He came out in 2013 in a YouTube video]. But also just musically, especially on this album, there’s so many little nostalgic references to the pop that I grew up listening to – pop stars of the early noughties – even down to the choreography and the music videos. I really am doing it for six-year-old me, who just wanted to be a pop star so badly,” he told the radio station."
30,NEUTRAL,0.677211344242096,"In one of his latest hits, the LGBTQ+ icon is nearly unrecognisable as he gets into drag and dresses as a blonde bombshell for his “One of Your Girls” music video."
31,POSITIVE,0.8219829201698303,Who are Tiger Woods’ teen kids with ex-wife Elin Nordegren?
32,POSITIVE,0.8559044003486633,"Besides music, the 28-year-old has also become a fixture on the fashion circuit. This October, Sivan made his Paris Fashion Week debut by walking on the runway for Miu Miu’s spring 2024 collection."
33,POSITIVE,0.927615225315094,"The South African-born star got his early start on YouTube, much like fellow celebs Justin Bieber and Shawn Mendes. After nabbing the part of a young James Logan in the film X-Men Origins: Wolverine in 2009, he started dabbling with posting on the video platform, according to Billboard."
