,result,score,target
0,NEUTRAL,0.6318581104278564,"Austria has set aside millions of euros to compensate thousands of gay people who until two decades ago faced prosecution, its justice minister has said."
1,NEUTRAL,0.49511927366256714,The country decriminalised homosexuality in 1971 but certain discriminatory provisions remained in force until the early 2000s.
2,NEUTRAL,0.4588370621204376,A ban on male homosexual prostitution remained in place until 1989 although heterosexual prostitution was legal. The age of consent for sexual contact between men was 18 – instead of 14 for heterosexuals – until 2002.
3,NEUTRAL,0.5241825580596924,"On Tuesday the justice minister, Alma Zadić, said an estimated 11,000 people were eligible for compensation, with a total of €33m (£29m) allotted for payout."
4,NEUTRAL,0.44752800464630127,"Gay people who were investigated under the now-repealed laws would get €500, while convictions would be quashed, she said."
5,NEUTRAL,0.44431304931640625,"Those who were convicted would get €3,000 and more if they were jailed or suffered in terms of health, economically or in their professional lives."
6,NEUTRAL,0.573881208896637,"The law, allowing for compensation effective from February next year, was expected to pass parliament this year, a ministry speaker told AFP."
7,NEUTRAL,0.6187145709991455,People will have to come forward to claim the compensation.
8,NEUTRAL,0.543480634689331,"Zadić – who has previously apologised over the prosecutions gay men and women faced – also urged people to stand up against hatred and violence against the LGBTQ+ community, which she said was on the rise."
9,POSITIVE,0.7531892657279968,"Privacy Notice: Newsletters may contain info about charities, online ads, and content funded by outside parties. For more information see our Privacy Policy. We use Google reCaptcha to protect our website and the Google Privacy Policy and Terms of Service apply."
10,POSITIVE,0.8500800132751465,"Austria is not the first country to take this step. In 2017, Germany’s parliament voted to quash the convictions of 50,000 gay men sentenced for homosexuality under a Nazi-era law that remained in force after the war, and offer compensation."
11,NEUTRAL,0.5684889554977417,"Austria was annexed by Nazi Germany in 1938, leading to the persecution not only of Jews but also gay people and others targeted by the Nazis."
12,POSITIVE,0.7511144280433655,"Same-sex marriage has been legal in Austria since 2019, and surveys show that Austrian public opinion is firmly on the side of equal treatment for same-sex couples."
13,NEUTRAL,0.40609583258628845,A programme of proposed legislation designed to shore up Rishi Sunak’s re-election prospects will be laid out on Tuesday in the king’s speech.
14,NEGATIVE,0.2393776923418045,About 20 bills are expected to be included in what is the final legislative programme before the next general election. The Conservatives are expected to try to open up key dividing lines with Labour on issues including net zero.
15,NEUTRAL,0.4605385661125183,Here is what to expect – and what is likely to be left out.
16,NEUTRAL,0.4972318708896637,"A new annual system for awarding oil and gas licences will be announced, with the government saying it will protect jobs and bolster energy security."
17,NEGATIVE,0.29409679770469666,"But experts, including climate scientists and poverty campaigners, have warned against plans to keep drilling. New oil and gas fields in the North Sea would only produce enough gas to satisfy Britain’s needs for a few weeks a year and have minimal impact on energy security, analysis found this year."
18,NEUTRAL,0.5732506513595581,"The energy secretary, Claire Coutinho, has admitted that household energy bills may not come down as a result of the plans. Labour would block new domestic exploration licences if it wins power."
19,NEUTRAL,0.6773523092269897,"Other announcements are expected to prioritise motorists over the pursuit of reducing carbon emissions, including moves to make it more difficult for councils in England to introduce 20mph zones or clean-air schemes such as Greater London’s ultra-low emission zone (Ulez)."
20,NEUTRAL,0.4924355447292328,"Sunak has already watered down climate targets, pushing back the deadline for the sale of new petrol and diesel cars and the phaseout of gas boilers, prompting furious condemnation from the automobile and energy industries."
21,NEGATIVE,0.39734479784965515,Another potentially controversial measure is a plan to restrict the use of tents by homeless people on the streets of Britain. Home Office plans that emerged over the weekend show charities could be fined for handing out tents.
22,NEGATIVE,0.23101259768009186,Charities condemned the move and said that blaming people forced to sleep rough would push them further away from help and into poverty.
23,NEUTRAL,0.4475914239883423,"Other previously announced measures include giving judges the power to order an offender to attend a sentencing hearing in England and Wales, including by force."
24,NEUTRAL,0.5478216409683228,"There would also be an expansion of the circumstances in which judges have to hand down a whole-life order for murder, and mandatory jail terms for certain other offences including shoplifting."
25,NEUTRAL,0.61670982837677,"Police would have greater powers to confiscate a legally owned knife if they have reasonable grounds for suspecting it may be used for a crime, while there will be a new offence for possessing a banned blade with intent to harm."
26,NEGATIVE,0.30068910121917725,"A measure known as “Martyn’s law” – named after Martyn Hett, 29, one of 22 killed in the 2017 Manchester Arena terror attack – will be aimed at forcing all venues to draw up plans to prevent terrorist attacks and ensure public safety."
27,POSITIVE,0.7301719784736633,"Proposals, first reported in the Guardian and which Rishi Sunak formally announced in his leader’s speech at the Conservative party’s annual conference, would introduce a gradual ‘generational’ ban on smoking."
28,NEUTRAL,0.5128602981567383,"Under the plan, anyone born on or after 1 January 2009 – in effect anyone who is 14 or younger now – would not legally be able to buy cigarettes in England ever during their lives as the smoking age is raised by one year every year, subject to MPs’ approval."
29,NEUTRAL,0.48739171028137207,Plans have already been revealed for a new football governance bill including a regulator and a licensing system under which clubs would operate.
30,NEUTRAL,0.5936657786369324,"The regulator’s powers would include control of licensing, with clubs having to prove their solvency and “sound financial business models” before being allowed to compete."
31,NEUTRAL,0.4666910767555237,"The government is expected to go ahead with plans to abolish a key piece of press regulation law, which will result in the rolling back of a law that left newspapers liable for the legal costs of both sides in libel cases, regardless of the result."
32,POSITIVE,0.7447572946548462,"Other media policies known to be under consideration have included increased regulation of streaming services, giving the regulator Ofcom the authority to consider complaints about shows on Netflix and Disney+."
33,NEUTRAL,0.5867188572883606,Trophy hunting imports and live farm animal exports are expected to be banned after Sunak faced intense criticism from influential Conservatives.
34,NEGATIVE,0.25017017126083374,"The government ditched the kept animals bill earlier this year, breaking a promise made in the 2019 manifesto."
35,NEUTRAL,0.5549108386039734,"Despite a promise to end what Michael Gove described as England’s “feudal” leasehold system, a long-awaited reform bill will not end leasehold on most properties."
36,NEUTRAL,0.4092448651790619,"Sources say the bill will include a ban on developers selling new houses under leasehold. It will also cap ground rents for new and existing properties and set the default length of leases at 990 years, rather than 99."
37,NEUTRAL,0.6653204560279846,"Government sources have also told the Guardian it will not extend that ban to flats, which make up about 70% of all leasehold properties."
38,NEGATIVE,0.23940378427505493,"Plans to ban gay and transgender conversion practices are expected to be left out. Senior Tories have been worried about splitting the party, with some concerned a ban on trans conversion practices could unintentionally criminalise parents or teachers giving advice to children struggling with their gender identities."
39,NEGATIVE,0.10363278537988663,"Plans to privatise Channel 4, which would have been a key component of a media reform bill, have also been dropped."
40,NEGATIVE,0.13946008682250977,"Plans to scrap pollution rules for housebuilders in England have been abandoned, amid suggestions the sewage scandal hurt the government in byelection losses."
41,NEUTRAL,0.44080525636672974,"Previously the government had planned to put the bill, aimed at boosting housebuilding by taking away costs from developers, into the speech."
42,POSITIVE,0.816383421421051,"Weeks into his senior year of high school in Texas, Max Hightower earned a key male role for his campus’s production of Oklahoma! the musical. But the trans teen’s principal has since stripped the teen of the part, citing a new policy requiring students to only portray characters who align with the gender identity assigned to them when they were born."
43,POSITIVE,0.7143388390541077,Hightower and his family are now appealing the administrator’s decision to the school board while the play is put on hold pending a review.
44,NEUTRAL,0.6333728432655334,"The 17-year-old child’s ordeal offers up one of the latest disputes illustrating the hostile climate with which members of LGBTQ+ communities must grapple in politically conservative areas of the US, particularly in the US south."
45,NEUTRAL,0.543533205986023,"As his family separately recounted to the Texas television news station KXAS, for four years, Hightower had excelled in the choir and theater programs offered up at Sherman high school, about 75 miles north of Dallas."
46,NEGATIVE,0.36122721433639526,"Hightower’s gender identity had never been an impediment. And the trans boy believed it would stay that way as recently as last month, when he landed the role of male character Ali Hakim for the production of Oklahoma! that Sherman was supposed to stage for three days beginning on 8 December."
47,POSITIVE,0.9238867163658142,Hakim is a love interest of one of the play’s female leads.
48,NEGATIVE,0.35439860820770264,"However, about two weeks later, Hightower and his parents received news that was devastating to them. Sherman’s principal said to the family that Hightower would actually lose out on the Ali Hakim role because of a new policy."
49,NEUTRAL,0.43091708421707153,"“Only males can play males, and only females can play females,” Max’s father, Phillip Hightower, recalled being told by the principal, according to KXAS."
50,NEUTRAL,0.5682270526885986,"Other students – cisgender and transgender alike – also learned that their roles would either be changing or eliminated because of the same policy, Max Hightower told the Post. Hightower described how many of those students were driven to tears, having spent weeks rehearsing songs, memorizing lines and erecting the set."
51,NEGATIVE,0.2693999707698822,"“It’s not fair,” he said."
52,NEGATIVE,0.2980040907859802,The parents of Hightower and some of the other affected students resolved to turn to the local school board to pursue a reversal of the Sherman school’s decision.
53,POSITIVE,0.7873420715332031,"“I’m not an activist – I’m not highly political. I have both liberal and conservative beliefs,” Phillip Hightower said. “I’m just a dad that wants to fight for his kid."
54,POSITIVE,0.7352145314216614,"In a statement provided to various media outlets, officials of the school district governing Sherman high school said Oklahoma! would be under review until at least the middle of January because they had been alerted to the production’s “mature adult themes, profane language and sexual content”."
55,NEUTRAL,0.6824313402175903,The statement claimed “there is no policy on how students are assigned to roles”.
56,POSITIVE,0.7857160568237305,"Phillip Hightower said the media statement was not consistent with the “kind of odd” policy outline that Sherman high’s principal communicated to his family. He added that, despite the school district’s stance, many in the local community rallied behind Max and his schoolmates after word of their dilemma spread."
57,NEGATIVE,0.21849803626537323,"A local college theater department had even invited Max to attend a special event over the weekend. “I didn’t see any hate in any of that,” Phillip Hightower told KXAS."
58,POSITIVE,0.8123763799667358,"The Sherman high controversy unfolds despite stage theater’s long history of actors playing roles that don’t align with the gender they were assigned at birth. For instance, in William Shakespeare’s plays, boys and young men often portrayed characters who were women."
59,NEUTRAL,0.42416802048683167,"In September, a Texas law banning drag performances in front of youth took effect. Laws prohibiting minors from receiving gender-affirming care and mandating that college athletes compete on teams aligning with their birth-assigned gender also went into effect."
60,NEGATIVE,0.31848448514938354,"State-level lawmakers around the US weighed hundreds of anti-LGBTQ+ during legislative sessions this year, with nearly half of them in the south. Dozens passed, though in some cases their implementation has been at least delayed by court challenges."
61,POSITIVE,0.8350064754486084,"This article was amended on 10 November 2023 to clarify that the role Max Hightower initially got was a key male role, but not the leading role."
